session_id,target
1,4.707014553872679e-08
2,1.997418266323052e-09
3,4.703782549756236e-08
4,5.346086190961761e-07
5,1.7262057871775409e-06
6,2.4233509210095806e-10
7,8.154495325539732e-10
8,6.864498029223931e-05
9,9.281769686629939e-08
10,1.7057909401124237e-06
11,5.7910698122009674e-08
12,1.4295041377256828e-07
13,1.1808278146449045e-07
14,2.436868418042913e-07
15,0.005734345417431787
16,8.672092998207544e-07
17,2.945153013632133e-07
18,3.5172644135259556e-07
19,7.815834183649176e-07
20,8.027027821702104e-10
21,2.3130189584746397e-06
22,8.175038372216365e-06
23,3.3540582889021427e-06
24,0.001719109592366175
25,2.7967924947124328e-06
26,0.0031843342669037795
27,7.802113161772656e-08
28,6.634106743058079e-10
29,5.006115567223999e-07
30,6.606759727896923e-07
31,0.045065685671134996
32,0.00026221827124280577
33,3.456799613488506e-08
34,8.442164641683688e-05
35,4.719055983888716e-06
36,7.987887947374181e-07
37,7.566760676292162e-09
38,1.4662146407377836e-07
39,2.011163184665376e-07
40,5.5192206610941097e-08
41,3.4300826288479775e-07
42,4.184250955020815e-05
43,1.1317009695506268e-06
44,1.8189224323086985e-06
45,0.05485284432692227
46,0.00442689676405072
47,7.749462152892857e-11
48,1.665853806735859e-09
49,0.0004518116572712731
50,2.356139781102179e-08
51,2.1868170921835987e-08
52,7.092014380052174e-07
53,1.3787525980238151e-05
54,0.001492665873517586
55,0.07580766531853418
56,0.0009329139985819773
57,4.705543051739124e-09
58,1.2638296308767672e-06
59,9.804589533654972e-09
60,6.693648364998846e-09
61,5.766508038029807e-08
62,1.0490728851190821e-07
63,4.306929894232918e-09
64,7.027838033970959e-05
65,7.538497016915054e-10
66,4.825771174233473e-08
67,8.365060179169635e-09
68,0.01880175781129677
69,2.5953626595620592e-06
70,9.107854843439828e-09
71,0.011117374787210362
72,2.1215156525523682e-05
73,0.005645953014374645
74,8.850109221903987e-07
75,3.3735981708032025e-06
76,0.0001276996579637872
77,0.00043028121516793736
78,0.003338452539914778
79,2.796758837919121e-06
80,9.209313480552398e-08
81,7.986289883264397e-10
82,3.3904447829721474e-07
83,2.2342159518047872e-08
84,7.725880909826636e-06
85,2.3293023006253398e-07
86,7.538497016915054e-10
87,4.966259501830198e-05
88,2.5895197124631065e-07
89,2.1562156186300946e-07
90,1.0724713931949235e-05
91,4.788751349912688e-10
92,4.4419460148680934e-08
93,0.005716128999497237
94,1.0168308100127342e-08
95,6.453684288622472e-06
96,1.997418266323052e-09
97,0.015107551581994933
98,2.658308180831708e-06
99,5.1123176237164875e-08
100,4.807462158132223e-08
101,5.259298291799251e-06
102,0.0006191904018327624
103,4.086175420540727e-09
104,1.988156897574289e-06
105,0.0005655951974367654
106,8.715549554838096e-08
107,2.0056726051697357e-05
108,9.525024287793788e-06
109,7.300171123968374e-07
110,5.4534790012130464e-14
111,9.774678626821595e-07
112,4.066300320334294e-10
113,1.977918908055062e-07
114,8.027828742625128e-07
115,1.106575404233075e-07
116,3.4768768270947974e-07
117,6.041875901440274e-08
118,1.7510602263651538e-06
119,1.8332124604265233e-08
120,8.866053199352184e-07
121,6.323775167673855e-08
122,2.273598048672552e-10
123,1.951785596100729e-09
124,1.5273038272796733e-06
125,0.0014421793371496641
126,1.997418266323052e-09
127,1.6724919462444525e-06
128,4.7589332186273433e-07
129,0.00013634878193049402
130,2.8308377048692635e-07
131,1.0147733186492274e-05
132,1.9436503097459998e-12
133,0.0012751110051544938
134,5.686019123948827e-07
135,2.2245025672361694e-08
136,0.00022832344246176306
137,2.6281116946047078e-08
138,0.00013670267012118854
139,3.752337970492121e-08
140,1.2818717955425616e-08
141,1.627252258737296e-09
142,6.099725665487699e-08
143,9.644008552397515e-07
144,4.136981722497713e-05
145,3.752337970492121e-08
146,5.509416091405194e-07
147,1.3066427309308899e-11
148,0.017696079921559495
149,2.9747597931659536e-07
150,1.368878615810895e-05
151,4.212524866700646e-06
152,0.002902913201385973
153,1.5712594436645968e-07
154,3.908475769576683e-06
155,1.0584025864720297e-07
156,2.4233509210095806e-10
157,7.724697093037205e-07
158,0.49770932134952434
159,2.0827337239097003e-06
160,2.273598048672552e-10
161,0.016997704141466383
162,5.285265635590598e-07
163,0.0011741776772997306
164,1.22950889966054e-06
165,2.1000410856134246e-05
166,1.2004691242597303e-08
167,1.3545726979120604e-06
168,2.9747597931659536e-07
169,0.0017323852851666795
170,0.00028838790228917895
171,7.242146079247921e-05
172,7.63776507707805e-05
173,3.1121481805622853e-07
